lep_m,dqc
3.136169420631629,0.03497379917932262
9.40852164649981,-0.6208120940165975
15.681228037582583,-1.3652211706090884
21.953735008846007,-1.918866768386857
28.22546987703587,-2.498226079424891
34.498698447768234,-3.0849344090953754
40.76999215406991,-3.6548163442085535
47.04279378582028,-4.188527949141882
53.317678828654365,-4.761315243536031
59.58851267522583,-5.335889232836752
65.85985770837928,-5.915171116787349
72.13121808806301,-6.491158730795562
78.40534472273387,-7.0402366766373845
84.67560445757344,-7.6375258889233395
90.94901141636534,-8.224203083891997
97.22266046886062,-8.828468108055613
103.49862547017516,-9.368643714066403
109.76691561208337,-9.961753229187856
116.03951164282635,-10.515647221801688
122.31193088720053,-11.145750224921455
128.58376990984524,-11.746535263377408
134.85292916420934,-12.374245810462085
141.12632415060938,-12.942356891131023
147.39616678301942,-13.444170720931647
153.67230492256058,-14.078670817905865
159.9498107168045,-14.785728971929728
166.21236793762526,-15.376134683997822
172.4842878864467,-15.905279319773754
178.7661103756044,-16.47342098892168
185.03844863358196,-17.232092831454196
191.30484910480794,-17.7375729089506
197.57174328595084,-18.34901693988801
203.848655039265,-19.07875972841812
210.11542326803323,-19.630228491626518
216.38887662057078,-20.370583297473924
222.6574660467258,-20.9662087149921
228.94361255722015,-21.587565598012805
235.20701485956903,-22.24095954299018
241.47329475364873,-23.020839033472114
247.7498542657834,-23.716289952165912
254.0225987291106,-24.18872464034474
260.2949664767717,-24.789571948204348
266.55926446580946,-25.593657850022158
272.83695117878267,-26.365226013784927
279.1095377886252,-26.774408097200375
285.37779159013667,-27.695068877330808
291.64982403930344,-28.49323590846454
297.9113943061637,-29.186062772639485
304.1927416639133,-29.617028222876723
310.4550217115057,-30.350716925196217
